Date,SKU,Region,Channel,Units Sold,Unit Price,Revenue
2024-01-01,Wash Pouch,US,Wholesale,23,55.25,1270.75
2024-01-01,Wash Pouch,EU,DTC,20,65.0,1300.0
2024-01-01,Wash Pouch,EU,Wholesale,37,55.25,2044.25
2024-01-01,Wash Pouch,Asia,DTC,16,65.0,1040.0
2024-01-01,Wash Pouch,Asia,Wholesale,31,55.25,1712.75
2024-01-02,Travel Duffel 30L,US,DTC,20,150.0,3000.0
2024-01-02,Travel Duffel 30L,US,Wholesale,29,127.5,3697.5
2024-01-02,Travel Duffel 30L,EU,DTC,21,150.0,3150.0
2024-01-02,Travel Duffel 30L,EU,Wholesale,39,127.5,4972.5
2024-01-02,Travel Duffel 30L,Asia,DTC,14,150.0,2100.0
2024-01-02,Travel Duffel 30L,Asia,Wholesale,31,127.5,3952.5
2024-01-02,Travel Duffel 45L,US,DTC,18,170.0,3060.0
2024-01-02,Travel Duffel 45L,US,Wholesale,29,144.5,4190.5
2024-01-02,Travel Duffel 45L,EU,DTC,20,170.0,3400.0
2024-01-02,Travel Duffel 45L,EU,Wholesale,26,144.5,3757.0
2024-01-02,Travel Duffel 45L,Asia,DTC,11,170.0,1870.0
2024-01-02,Travel Duffel 45L,Asia,Wholesale,26,144.5,3757.0
2024-01-02,Everyday Backpack 20L,US,DTC,13,180.0,2340.0
2024-01-02,Everyday Backpack 20L,US,Wholesale,29,153.0,4437.0
2024-01-02,Everyday Backpack 20L,EU,DTC,24,180.0,4320.0
2024-01-02,Everyday Backpack 20L,EU,Wholesale,33,153.0,5049.0
2024-01-02,Everyday Backpack 20L,Asia,DTC,18,180.0,3240.0
2024-01-02,Everyday Backpack 20L,Asia,Wholesale,25,153.0,3825.0
2024-01-02,Everyday Backpack 30L,US,DTC,18,200.0,3600.0
2024-01-02,Everyday Backpack 30L,US,Wholesale,31,170.0,5270.0
2024-01-02,Everyday Backpack 30L,EU,DTC,14,200.0,2800.0
2024-01-02,Everyday Backpack 30L,EU,Wholesale,37,170.0,6290.0
2024-01-02,Everyday Backpack 30L,Asia,DTC,17,200.0,3400.0
2024-01-02,Everyday Backpack 30L,Asia,Wholesale,28,170.0,4760.0
2024-01-02,Capture Clip v3,US,DTC,15,70.0,1050.0
2024-01-02,Capture Clip v3,US,Wholesale,26,59.5,1547.0
2024-01-02,Capture Clip v3,EU,DTC,20,70.0,1400.0
2024-01-02,Capture Clip v3,EU,Wholesale,35,59.5,2082.5
2024-01-02,Capture Clip v3,Asia,DTC,17,70.0,1190.0
2024-01-02,Capture Clip v3,Asia,Wholesale,36,59.5,2142.0
2024-01-02,Capture Clip Pro,US,DTC,20,90.0,1800.0
2024-01-02,Capture Clip Pro,US,Wholesale,28,76.5,2142.0
2024-01-02,Capture Clip Pro,EU,DTC,18,90.0,1620.0
2024-01-02,Capture Clip Pro,EU,Wholesale,29,76.5,2218.5
2024-01-02,Capture Clip Pro,Asia,DTC,24,90.0,2160.0
2024-01-02,Capture Clip Pro,Asia,Wholesale,27,76.5,2065.5
2024-01-02,Tech Pouch,US,DTC,19,60.0,1140.0
2024-01-02,Tech Pouch,US,Wholesale,26,51.0,1326.0
2024-01-02,Tech Pouch,EU,DTC,22,60.0,1320.0
2024-01-02,Tech Pouch,EU,Wholesale,37,51.0,1887.0
2024-01-02,Tech Pouch,Asia,DTC,16,60.0,960.0
2024-01-02,Tech Pouch,Asia,Wholesale,30,51.0,1530.0
2024-01-02,Wash Pouch,US,DTC,21,65.0,1365.0
2024-01-02,Wash Pouch,US,Wholesale,29,55.25,1602.25
2024-01-02,Wash Pouch,EU,DTC,17,65.0,1105.0
2024-01-02,Wash Pouch,EU,Wholesale,33,55.25,1823.25
2024-01-02,Wash Pouch,Asia,DTC,19,65.0,1235.0
2024-01-02,Wash Pouch,Asia,Wholesale,25,55.25,1381.25
2024-01-03,Travel Duffel 30L,US,DTC,17,150.0,2550.0
2024-01-03,Travel Duffel 30L,US,Wholesale,22,127.5,2805.0
2024-01-03,Travel Duffel 30L,EU,DTC,10,150.0,1500.0
2024-01-03,Travel Duffel 30L,EU,Wholesale,29,127.5,3697.5
2024-01-03,Travel Duffel 30L,Asia,DTC,21,150.0,3150.0
2024-01-03,Travel Duffel 30L,Asia,Wholesale,25,127.5,3187.5
2024-01-03,Travel Duffel 45L,US,DTC,14,170.0,2380.0
2024-01-03,Travel Duffel 45L,US,Wholesale,30,144.5,4335.0
2024-01-03,Travel Duffel 45L,EU,DTC,14,170.0,2380.0
2024-01-03,Travel Duffel 45L,EU,Wholesale,35,144.5,5057.5
2024-01-03,Travel Duffel 45L,Asia,DTC,17,170.0,2890.0
2024-01-03,Travel Duffel 45L,Asia,Wholesale,46,144.5,6647.0
2024-01-03,Everyday Backpack 20L,US,DTC,31,180.0,5580.0
2024-01-03,Everyday Backpack 20L,US,Wholesale,38,153.0,5814.0
2024-01-03,Everyday Backpack 20L,EU,DTC,18,180.0,3240.0
2024-01-03,Everyday Backpack 20L,EU,Wholesale,38,153.0,5814.0
2024-01-03,Everyday Backpack 20L,Asia,DTC,21,180.0,3780.0
2024-01-03,Everyday Backpack 20L,Asia,Wholesale,44,153.0,6732.0
2024-01-03,Everyday Backpack 30L,US,DTC,19,200.0,3800.0
2024-01-03,Everyday Backpack 30L,US,Wholesale,30,170.0,5100.0
2024-01-03,Everyday Backpack 30L,EU,DTC,15,200.0,3000.0
2024-01-03,Everyday Backpack 30L,EU,Wholesale,29,170.0,4930.0
2024-01-03,Everyday Backpack 30L,Asia,DTC,18,200.0,3600.0
2024-01-03,Everyday Backpack 30L,Asia,Wholesale,30,170.0,5100.0
2024-01-03,Capture Clip v3,US,DTC,20,70.0,1400.0
2024-01-03,Capture Clip v3,US,Wholesale,36,59.5,2142.0
2024-01-03,Capture Clip v3,EU,DTC,21,70.0,1470.0
2024-01-03,Capture Clip v3,EU,Wholesale,31,59.5,1844.5
2024-01-03,Capture Clip v3,Asia,DTC,21,70.0,1470.0
2024-01-03,Capture Clip v3,Asia,Wholesale,24,59.5,1428.0
2024-01-03,Capture Clip Pro,US,DTC,18,90.0,1620.0
2024-01-03,Capture Clip Pro,US,Wholesale,40,76.5,3060.0
2024-01-03,Capture Clip Pro,EU,DTC,7,90.0,630.0
2024-01-03,Capture Clip Pro,EU,Wholesale,30,76.5,2295.0
2024-01-03,Capture Clip Pro,Asia,DTC,17,90.0,1530.0
2024-01-03,Capture Clip Pro,Asia,Wholesale,38,76.5,2907.0
2024-01-03,Tech Pouch,US,DTC,16,60.0,960.0
2024-01-03,Tech Pouch,US,Wholesale,38,51.0,1938.0
2024-01-03,Tech Pouch,EU,DTC,10,60.0,600.0
2024-01-03,Tech Pouch,EU,Wholesale,42,51.0,2142.0
2024-01-03,Tech Pouch,Asia,DTC,10,60.0,600.0
2024-01-03,Tech Pouch,Asia,Wholesale,24,51.0,1224.0
2024-01-03,Wash Pouch,US,DTC,14,65.0,910.0
2024-01-03,Wash Pouch,US,Wholesale,35,55.25,1933.75
2024-01-03,Wash Pouch,EU,DTC,12,65.0,780.0
2024-01-03,Wash Pouch,EU,Wholesale,29,55.25,1602.25
2024-01-03,Wash Pouch,Asia,DTC,20,65.0,1300.0
2024-01-03,Wash Pouch,Asia,Wholesale,28,55.25,1547.0
2024-01-04,Travel Duffel 30L,US,DTC,16,150.0,2400.0
2024-01-04,Travel Duffel 30L,US,Wholesale,33,127.5,4207.5
2024-01-04,Travel Duffel 30L,EU,DTC,27,150.0,4050.0
2024-01-04,Travel Duffel 30L,EU,Wholesale,30,127.5,3825.0
2024-01-04,Travel Duffel 30L,Asia,DTC,21,150.0,3150.0
2024-01-04,Travel Duffel 30L,Asia,Wholesale,28,127.5,3570.0
2024-01-04,Travel Duffel 45L,US,DTC,23,170.0,3910.0
2024-01-04,Travel Duffel 45L,US,Wholesale,37,144.5,5346.5
2024-01-04,Travel Duffel 45L,EU,DTC,12,170.0,2040.0
2024-01-04,Travel Duffel 45L,EU,Wholesale,29,144.5,4190.5
2024-01-04,Travel Duffel 45L,Asia,DTC,16,170.0,2720.0
2024-01-04,Travel Duffel 45L,Asia,Wholesale,31,144.5,4479.5
2024-01-04,Everyday Backpack 20L,US,DTC,14,180.0,2520.0
2024-01-04,Everyday Backpack 20L,US,Wholesale,33,153.0,5049.0
2024-01-04,Everyday Backpack 20L,EU,DTC,21,180.0,3780.0
2024-01-04,Everyday Backpack 20L,EU,Wholesale,32,153.0,4896.0
2024-01-04,Everyday Backpack 20L,Asia,DTC,24,180.0,4320.0
2024-01-04,Everyday Backpack 20L,Asia,Wholesale,31,153.0,4743.0
2024-01-04,Everyday Backpack 30L,US,DTC,23,200.0,4600.0
2024-01-04,Everyday Backpack 30L,US,Wholesale,38,170.0,6460.0
2024-01-04,Everyday Backpack 30L,EU,DTC,12,200.0,2400.0
2024-01-04,Everyday Backpack 30L,EU,Wholesale,30,170.0,5100.0
2024-01-04,Everyday Backpack 30L,Asia,DTC,11,200.0,2200.0
2024-01-04,Everyday Backpack 30L,Asia,Wholesale,35,170.0,5950.0
2024-01-04,Capture Clip v3,US,DTC,16,70.0,1120.0
2024-01-04,Capture Clip v3,US,Wholesale,26,59.5,1547.0
2024-01-04,Capture Clip v3,EU,DTC,21,70.0,1470.0
2024-01-04,Capture Clip v3,EU,Wholesale,33,59.5,1963.5
2024-01-04,Capture Clip v3,Asia,DTC,19,70.0,1330.0
2024-01-04,Capture Clip v3,Asia,Wholesale,33,59.5,1963.5
2024-01-04,Capture Clip Pro,US,DTC,21,90.0,1890.0
2024-01-04,Capture Clip Pro,US,Wholesale,29,76.5,2218.5
2024-01-04,Capture Clip Pro,EU,DTC,15,90.0,1350.0
2024-01-04,Capture Clip Pro,EU,Wholesale,33,76.5,2524.5
2024-01-04,Capture Clip Pro,Asia,DTC,22,90.0,1980.0
2024-01-04,Capture Clip Pro,Asia,Wholesale,46,76.5,3519.0
2024-01-04,Tech Pouch,US,DTC,25,60.0,1500.0
2024-01-04,Tech Pouch,US,Wholesale,34,51.0,1734.0
2024-01-04,Tech Pouch,EU,DTC,15,60.0,900.0
2024-01-04,Tech Pouch,EU,Wholesale,32,51.0,1632.0
2024-01-04,Tech Pouch,Asia,DTC,15,60.0,900.0
2024-01-04,Tech Pouch,Asia,Wholesale,33,51.0,1683.0
2024-01-04,Wash Pouch,US,DTC,17,65.0,1105.0
2024-01-04,Wash Pouch,US,Wholesale,24,55.25,1326.0
2024-01-04,Wash Pouch,EU,DTC,20,65.0,1300.0
2024-01-04,Wash Pouch,EU,Wholesale,26,55.25,1436.5
2024-01-04,Wash Pouch,Asia,DTC,24,65.0,1560.0
2024-01-04,Wash Pouch,Asia,Wholesale,21,55.25,1160.25
2024-01-05,Travel Duffel 30L,US,DTC,17,150.0,2550.0
2024-01-05,Travel Duffel 30L,US,Wholesale,38,127.5,4845.0
2024-01-05,Travel Duffel 30L,EU,DTC,15,150.0,2250.0
2024-01-05,Travel Duffel 30L,EU,Wholesale,36,127.5,4590.0
2024-01-05,Travel Duffel 30L,Asia,DTC,14,150.0,2100.0
2024-01-05,Travel Duffel 30L,Asia,Wholesale,40,127.5,5100.0
2024-01-05,Travel Duffel 45L,US,DTC,21,170.0,3570.0
2024-01-05,Travel Duffel 45L,US,Wholesale,43,144.5,6213.5
2024-01-05,Travel Duffel 45L,EU,DTC,23,170.0,3910.0
2024-01-05,Travel Duffel 45L,EU,Wholesale,34,144.5,4913.0
2024-01-05,Travel Duffel 45L,Asia,DTC,16,170.0,2720.0
2024-01-05,Travel Duffel 45L,Asia,Wholesale,48,144.5,6936.0
2024-01-05,Everyday Backpack 20L,US,DTC,23,180.0,4140.0
2024-01-05,Everyday Backpack 20L,US,Wholesale,27,153.0,4131.0
2024-01-05,Everyday Backpack 20L,EU,DTC,13,180.0,2340.0
2024-01-05,Everyday Backpack 20L,EU,Wholesale,23,153.0,3519.0
2024-01-05,Everyday Backpack 20L,Asia,DTC,19,180.0,3420.0
2024-01-05,Everyday Backpack 20L,Asia,Wholesale,41,153.0,6273.0
2024-01-05,Everyday Backpack 30L,US,DTC,15,200.0,3000.0
2024-01-05,Everyday Backpack 30L,US,Wholesale,30,170.0,5100.0
2024-01-05,Everyday Backpack 30L,EU,DTC,17,200.0,3400.0
2024-01-05,Everyday Backpack 30L,EU,Wholesale,35,170.0,5950.0
2024-01-05,Everyday Backpack 30L,Asia,DTC,14,200.0,2800.0
2024-01-05,Everyday Backpack 30L,Asia,Wholesale,33,170.0,5610.0
2024-01-05,Capture Clip v3,US,DTC,20,70.0,1400.0
2024-01-05,Capture Clip v3,US,Wholesale,34,59.5,2023.0
2024-01-05,Capture Clip v3,EU,DTC,18,70.0,1260.0
2024-01-05,Capture Clip v3,EU,Wholesale,22,59.5,1309.0
2024-01-05,Capture Clip v3,Asia,DTC,13,70.0,910.0
2024-01-05,Capture Clip v3,Asia,Wholesale,27,59.5,1606.5
2024-01-05,Capture Clip Pro,US,DTC,15,90.0,1350.0
2024-01-05,Capture Clip Pro,US,Wholesale,22,76.5,1683.0
2024-01-05,Capture Clip Pro,EU,DTC,20,90.0,1800.0
2024-01-05,Capture Clip Pro,EU,Wholesale,31,76.5,2371.5
2024-01-05,Capture Clip Pro,Asia,DTC,16,90.0,1440.0
2024-01-05,Capture Clip Pro,Asia,Wholesale,41,76.5,3136.5
2024-01-05,Tech Pouch,US,DTC,13,60.0,780.0
2024-01-05,Tech Pouch,US,Wholesale,37,51.0,1887.0
2024-01-05,Tech Pouch,EU,DTC,18,60.0,1080.0
2024-01-05,Tech Pouch,EU,Wholesale,31,51.0,1581.0
2024-01-05,Tech Pouch,Asia,DTC,16,60.0,960.0
2024-01-05,Tech Pouch,Asia,Wholesale,52,51.0,2652.0
2024-01-05,Wash Pouch,US,DTC,13,65.0,845.0
2024-01-05,Wash Pouch,US,Wholesale,33,55.25,1823.25
2024-01-05,Wash Pouch,EU,DTC,16,65.0,1040.0
2024-01-05,Wash Pouch,EU,Wholesale,22,55.25,1215.5
2024-01-05,Wash Pouch,Asia,DTC,19,65.0,1235.0
2024-01-05,Wash Pouch,Asia,Wholesale,33,55.25,1823.25
2024-01-06,Travel Duffel 30L,US,DTC,18,150.0,2700.0
2024-01-06,Travel Duffel 30L,US,Wholesale,38,127.5,4845.0
2024-01-06,Travel Duffel 30L,EU,DTC,13,150.0,1950.0
2024-01-06,Travel Duffel 30L,EU,Wholesale,37,127.5,4717.5
2024-01-06,Travel Duffel 30L,Asia,DTC,26,150.0,3900.0
2024-01-06,Travel Duffel 30L,Asia,Wholesale,34,127.5,4335.0
2024-01-06,Travel Duffel 45L,US,DTC,25,170.0,4250.0
2024-01-06,Travel Duffel 45L,US,Wholesale,30,144.5,4335.0
2024-01-06,Travel Duffel 45L,EU,DTC,22,170.0,3740.0
2024-01-06,Travel Duffel 45L,EU,Wholesale,30,144.5,4335.0
2024-01-06,Travel Duffel 45L,Asia,DTC,12,170.0,2040.0
2024-01-06,Travel Duffel 45L,Asia,Wholesale,32,144.5,4624.0
2024-01-06,Everyday Backpack 20L,US,DTC,13,180.0,2340.0
2024-01-06,Everyday Backpack 20L,US,Wholesale,29,153.0,4437.0
2024-01-06,Everyday Backpack 20L,EU,DTC,16,180.0,2880.0
2024-01-06,Everyday Backpack 20L,EU,Wholesale,50,153.0,7650.0
2024-01-06,Everyday Backpack 20L,Asia,DTC,12,180.0,2160.0
2024-01-06,Everyday Backpack 20L,Asia,Wholesale,25,153.0,3825.0
2024-01-06,Everyday Backpack 30L,US,DTC,13,200.0,2600.0
2024-01-06,Everyday Backpack 30L,US,Wholesale,27,170.0,4590.0
2024-01-06,Everyday Backpack 30L,EU,DTC,14,200.0,2800.0
2024-01-06,Everyday Backpack 30L,EU,Wholesale,36,170.0,6120.0
2024-01-06,Everyday Backpack 30L,Asia,DTC,18,200.0,3600.0
2024-01-06,Everyday Backpack 30L,Asia,Wholesale,38,170.0,6460.0
2024-01-06,Capture Clip v3,US,DTC,15,70.0,1050.0
2024-01-06,Capture Clip v3,US,Wholesale,37,59.5,2201.5
2024-01-06,Capture Clip v3,EU,DTC,17,70.0,1190.0
2024-01-06,Capture Clip v3,EU,Wholesale,31,59.5,1844.5
2024-01-06,Capture Clip v3,Asia,DTC,13,70.0,910.0
2024-01-06,Capture Clip v3,Asia,Wholesale,28,59.5,1666.0
2024-01-06,Capture Clip Pro,US,DTC,16,90.0,1440.0
2024-01-06,Capture Clip Pro,US,Wholesale,38,76.5,2907.0
2024-01-06,Capture Clip Pro,EU,DTC,14,90.0,1260.0
2024-01-06,Capture Clip Pro,EU,Wholesale,39,76.5,2983.5
2024-01-06,Capture Clip Pro,Asia,DTC,15,90.0,1350.0
2024-01-06,Capture Clip Pro,Asia,Wholesale,31,76.5,2371.5
2024-01-06,Tech Pouch,US,DTC,14,60.0,840.0
2024-01-06,Tech Pouch,US,Wholesale,30,51.0,1530.0
2024-01-06,Tech Pouch,EU,DTC,25,60.0,1500.0
2024-01-06,Tech Pouch,EU,Wholesale,43,51.0,2193.0
2024-01-06,Tech Pouch,Asia,DTC,28,60.0,1680.0
2024-01-06,Tech Pouch,Asia,Wholesale,35,51.0,1785.0
2024-01-06,Wash Pouch,US,DTC,15,65.0,975.0
2024-01-06,Wash Pouch,US,Wholesale,33,55.25,1823.25
2024-01-06,Wash Pouch,EU,DTC,13,65.0,845.0
2024-01-06,Wash Pouch,EU,Wholesale,28,55.25,1547.0
2024-01-06,Wash Pouch,Asia,DTC,12,65.0,780.0
2024-01-06,Wash Pouch,Asia,Wholesale,34,55.25,1878.5
2024-01-07,Travel Duffel 30L,US,DTC,11,150.0,1650.0
2024-01-07,Travel Duffel 30L,US,Wholesale,38,127.5,4845.0
2024-01-07,Travel Duffel 30L,EU,DTC,14,150.0,2100.0
2024-01-07,Travel Duffel 30L,EU,Wholesale,19,127.5,2422.5
2024-01-07,Travel Duffel 30L,Asia,DTC,19,150.0,2850.0
2024-01-07,Travel Duffel 30L,Asia,Wholesale,34,127.5,4335.0
2024-01-07,Travel Duffel 45L,US,DTC,16,170.0,2720.0
2024-01-07,Travel Duffel 45L,US,Wholesale,24,144.5,3468.0
2024-01-07,Travel Duffel 45L,EU,DTC,12,170.0,2040.0
2024-01-07,Travel Duffel 45L,EU,Wholesale,32,144.5,4624.0
2024-01-07,Travel Duffel 45L,Asia,DTC,18,170.0,3060.0
2024-01-07,Travel Duffel 45L,Asia,Wholesale,34,144.5,4913.0
2024-01-07,Everyday Backpack 20L,US,DTC,22,180.0,3960.0
2024-01-07,Everyday Backpack 20L,US,Wholesale,32,153.0,4896.0
2024-01-07,Everyday Backpack 20L,EU,DTC,23,180.0,4140.0
2024-01-07,Everyday Backpack 20L,EU,Wholesale,28,153.0,4284.0
2024-01-07,Everyday Backpack 20L,Asia,DTC,20,180.0,3600.0
2024-01-07,Everyday Backpack 20L,Asia,Wholesale,30,153.0,4590.0
2024-01-07,Everyday Backpack 30L,US,DTC,17,200.0,3400.0
2024-01-07,Everyday Backpack 30L,US,Wholesale,28,170.0,4760.0
2024-01-07,Everyday Backpack 30L,EU,DTC,18,200.0,3600.0
2024-01-07,Everyday Backpack 30L,EU,Wholesale,20,170.0,3400.0
2024-01-07,Everyday Backpack 30L,Asia,DTC,11,200.0,2200.0
2024-01-07,Everyday Backpack 30L,Asia,Wholesale,34,170.0,5780.0
2024-01-07,Capture Clip v3,US,DTC,11,70.0,770.0
2024-01-07,Capture Clip v3,US,Wholesale,25,59.5,1487.5
2024-01-07,Capture Clip v3,EU,DTC,19,70.0,1330.0
2024-01-07,Capture Clip v3,EU,Wholesale,24,59.5,1428.0
2024-01-07,Capture Clip v3,Asia,DTC,7,70.0,490.0
2024-01-07,Capture Clip v3,Asia,Wholesale,43,59.5,2558.5
2024-01-07,Capture Clip Pro,US,DTC,15,90.0,1350.0
2024-01-07,Capture Clip Pro,US,Wholesale,31,76.5,2371.5
2024-01-07,Capture Clip Pro,EU,DTC,14,90.0,1260.0
2024-01-07,Capture Clip Pro,EU,Wholesale,22,76.5,1683.0
2024-01-07,Capture Clip Pro,Asia,DTC,18,90.0,1620.0
2024-01-07,Capture Clip Pro,Asia,Wholesale,28,76.5,2142.0
2024-01-07,Tech Pouch,US,DTC,15,60.0,900.0
2024-01-07,Tech Pouch,US,Wholesale,22,51.0,1122.0
2024-01-07,Tech Pouch,EU,DTC,15,60.0,900.0
2024-01-07,Tech Pouch,EU,Wholesale,31,51.0,1581.0
2024-01-07,Tech Pouch,Asia,DTC,19,60.0,1140.0
2024-01-07,Tech Pouch,Asia,Wholesale,34,51.0,1734.0
2024-01-07,Wash Pouch,US,DTC,20,65.0,1300.0
2024-01-07,Wash Pouch,US,Wholesale,33,55.25,1823.25
2024-01-07,Wash Pouch,EU,DTC,14,65.0,910.0
2024-01-07,Wash Pouch,EU,Wholesale,32,55.25,1768.0
2024-01-07,Wash Pouch,Asia,DTC,13,65.0,845.0
2024-01-07,Wash Pouch,Asia,Wholesale,22,55.25,1215.5
2024-01-08,Travel Duffel 30L,US,DTC,16,150.0,2400.0
2024-01-08,Travel Duffel 30L,US,Wholesale,28,127.5,3570.0
2024-01-08,Travel Duffel 30L,EU,DTC,16,150.0,2400.0
2024-01-08,Travel Duffel 30L,EU,Wholesale,19,127.5,2422.5
2024-01-08,Travel Duffel 30L,Asia,DTC,20,150.0,3000.0
2024-01-08,Travel Duffel 30L,Asia,Wholesale,36,127.5,4590.0
2024-01-08,Travel Duffel 45L,US,DTC,17,170.0,2890.0
2024-01-08,Travel Duffel 45L,US,Wholesale,21,144.5,3034.5
2024-01-08,Travel Duffel 45L,EU,DTC,19,170.0,3230.0
2024-01-08,Travel Duffel 45L,EU,Wholesale,36,144.5,5202.0
2024-01-08,Travel Duffel 45L,Asia,DTC,14,170.0,2380.0
2024-01-08,Travel Duffel 45L,Asia,Wholesale,28,144.5,4046.0
2024-01-08,Everyday Backpack 20L,US,DTC,13,180.0,2340.0
2024-01-08,Everyday Backpack 20L,US,Wholesale,28,153.0,4284.0
2024-01-08,Everyday Backpack 20L,EU,DTC,24,180.0,4320.0
2024-01-08,Everyday Backpack 20L,EU,Wholesale,28,153.0,4284.0
2024-01-08,Everyday Backpack 20L,Asia,DTC,13,180.0,2340.0
2024-01-08,Everyday Backpack 20L,Asia,Wholesale,25,153.0,3825.0
2024-01-08,Everyday Backpack 30L,US,DTC,17,200.0,3400.0
2024-01-08,Everyday Backpack 30L,US,Wholesale,23,170.0,3910.0
2024-01-08,Everyday Backpack 30L,EU,DTC,20,200.0,4000.0
2024-01-08,Everyday Backpack 30L,EU,Wholesale,23,170.0,3910.0
2024-01-08,Everyday Backpack 30L,Asia,DTC,13,200.0,2600.0
2024-01-08,Everyday Backpack 30L,Asia,Wholesale,42,170.0,7140.0
2024-01-08,Capture Clip v3,US,DTC,13,70.0,910.0
2024-01-08,Capture Clip v3,US,Wholesale,25,59.5,1487.5
2024-01-08,Capture Clip v3,EU,DTC,20,70.0,1400.0
2024-01-08,Capture Clip v3,EU,Wholesale,42,59.5,2499.0
2024-01-08,Capture Clip v3,Asia,DTC,20,70.0,1400.0
2024-01-08,Capture Clip v3,Asia,Wholesale,30,59.5,1785.0
2024-01-08,Capture Clip Pro,US,DTC,27,90.0,2430.0
2024-01-08,Capture Clip Pro,US,Wholesale,26,76.5,1989.0
2024-01-08,Capture Clip Pro,EU,DTC,12,90.0,1080.0
2024-01-08,Capture Clip Pro,EU,Wholesale,31,76.5,2371.5
2024-01-08,Capture Clip Pro,Asia,DTC,16,90.0,1440.0
2024-01-08,Capture Clip Pro,Asia,Wholesale,32,76.5,2448.0
2024-01-08,Tech Pouch,US,DTC,21,60.0,1260.0
2024-01-08,Tech Pouch,US,Wholesale,25,51.0,1275.0
2024-01-08,Tech Pouch,EU,DTC,17,60.0,1020.0
2024-01-08,Tech Pouch,EU,Wholesale,39,51.0,1989.0
2024-01-08,Tech Pouch,Asia,DTC,19,60.0,1140.0
2024-01-08,Tech Pouch,Asia,Wholesale,38,51.0,1938.0
2024-01-08,Wash Pouch,US,DTC,17,65.0,1105.0
2024-01-08,Wash Pouch,US,Wholesale,38,55.25,2099.5
2024-01-08,Wash Pouch,EU,DTC,19,65.0,1235.0
2024-01-08,Wash Pouch,EU,Wholesale,26,55.25,1436.5
2024-01-08,Wash Pouch,Asia,DTC,13,65.0,845.0
2024-01-08,Wash Pouch,Asia,Wholesale,29,55.25,1602.25
2024-01-09,Travel Duffel 30L,US,DTC,20,150.0,3000.0
2024-01-09,Travel Duffel 30L,US,Wholesale,29,127.5,3697.5
